+--------------------------+------------+
|         Modules          | Parameters |
+--------------------------+------------+
|         nodevec1         |    280     |
|         nodevec2         |    280     |
|  filter_convs.0.weight   |    2048    |
|   filter_convs.0.bias    |     32     |
|  filter_convs.1.weight   |    2048    |
|   filter_convs.1.bias    |     32     |
|  filter_convs.2.weight   |    2048    |
|   filter_convs.2.bias    |     32     |
|  filter_convs.3.weight   |    2048    |
|   filter_convs.3.bias    |     32     |
|  filter_convs.4.weight   |    2048    |
|   filter_convs.4.bias    |     32     |
|  filter_convs.5.weight   |    2048    |
|   filter_convs.5.bias    |     32     |
|  filter_convs.6.weight   |    2048    |
|   filter_convs.6.bias    |     32     |
|  filter_convs.7.weight   |    2048    |
|   filter_convs.7.bias    |     32     |
|  filter_convs.8.weight   |    2048    |
|   filter_convs.8.bias    |     32     |
|  filter_convs.9.weight   |    2048    |
|   filter_convs.9.bias    |     32     |
|  filter_convs.10.weight  |    2048    |
|   filter_convs.10.bias   |     32     |
|  filter_convs.11.weight  |    2048    |
|   filter_convs.11.bias   |     32     |
|  filter_convs.12.weight  |    2048    |
|   filter_convs.12.bias   |     32     |
|  filter_convs.13.weight  |    2048    |
|   filter_convs.13.bias   |     32     |
|  filter_convs.14.weight  |    2048    |
|   filter_convs.14.bias   |     32     |
|  filter_convs.15.weight  |    2048    |
|   filter_convs.15.bias   |     32     |
|   gate_convs.0.weight    |    2048    |
|    gate_convs.0.bias     |     32     |
|   gate_convs.1.weight    |    2048    |
|    gate_convs.1.bias     |     32     |
|   gate_convs.2.weight    |    2048    |
|    gate_convs.2.bias     |     32     |
|   gate_convs.3.weight    |    2048    |
|    gate_convs.3.bias     |     32     |
|   gate_convs.4.weight    |    2048    |
|    gate_convs.4.bias     |     32     |
|   gate_convs.5.weight    |    2048    |
|    gate_convs.5.bias     |     32     |
|   gate_convs.6.weight    |    2048    |
|    gate_convs.6.bias     |     32     |
|   gate_convs.7.weight    |    2048    |
|    gate_convs.7.bias     |     32     |
|   gate_convs.8.weight    |    2048    |
|    gate_convs.8.bias     |     32     |
|   gate_convs.9.weight    |    2048    |
|    gate_convs.9.bias     |     32     |
|   gate_convs.10.weight   |    2048    |
|    gate_convs.10.bias    |     32     |
|   gate_convs.11.weight   |    2048    |
|    gate_convs.11.bias    |     32     |
|   gate_convs.12.weight   |    2048    |
|    gate_convs.12.bias    |     32     |
|   gate_convs.13.weight   |    2048    |
|    gate_convs.13.bias    |     32     |
|   gate_convs.14.weight   |    2048    |
|    gate_convs.14.bias    |     32     |
|   gate_convs.15.weight   |    2048    |
|    gate_convs.15.bias    |     32     |
| residual_convs.0.weight  |    1024    |
|  residual_convs.0.bias   |     32     |
| residual_convs.1.weight  |    1024    |
|  residual_convs.1.bias   |     32     |
| residual_convs.2.weight  |    1024    |
|  residual_convs.2.bias   |     32     |
| residual_convs.3.weight  |    1024    |
|  residual_convs.3.bias   |     32     |
| residual_convs.4.weight  |    1024    |
|  residual_convs.4.bias   |     32     |
| residual_convs.5.weight  |    1024    |
|  residual_convs.5.bias   |     32     |
| residual_convs.6.weight  |    1024    |
|  residual_convs.6.bias   |     32     |
| residual_convs.7.weight  |    1024    |
|  residual_convs.7.bias   |     32     |
| residual_convs.8.weight  |    1024    |
|  residual_convs.8.bias   |     32     |
| residual_convs.9.weight  |    1024    |
|  residual_convs.9.bias   |     32     |
| residual_convs.10.weight |    1024    |
|  residual_convs.10.bias  |     32     |
| residual_convs.11.weight |    1024    |
|  residual_convs.11.bias  |     32     |
| residual_convs.12.weight |    1024    |
|  residual_convs.12.bias  |     32     |
| residual_convs.13.weight |    1024    |
|  residual_convs.13.bias  |     32     |
| residual_convs.14.weight |    1024    |
|  residual_convs.14.bias  |     32     |
| residual_convs.15.weight |    1024    |
|  residual_convs.15.bias  |     32     |
|   skip_convs.0.weight    |    8192    |
|    skip_convs.0.bias     |    256     |
|   skip_convs.1.weight    |    8192    |
|    skip_convs.1.bias     |    256     |
|   skip_convs.2.weight    |    8192    |
|    skip_convs.2.bias     |    256     |
|   skip_convs.3.weight    |    8192    |
|    skip_convs.3.bias     |    256     |
|   skip_convs.4.weight    |    8192    |
|    skip_convs.4.bias     |    256     |
|   skip_convs.5.weight    |    8192    |
|    skip_convs.5.bias     |    256     |
|   skip_convs.6.weight    |    8192    |
|    skip_convs.6.bias     |    256     |
|   skip_convs.7.weight    |    8192    |
|    skip_convs.7.bias     |    256     |
|   skip_convs.8.weight    |    8192    |
|    skip_convs.8.bias     |    256     |
|   skip_convs.9.weight    |    8192    |
|    skip_convs.9.bias     |    256     |
|   skip_convs.10.weight   |    8192    |
|    skip_convs.10.bias    |    256     |
|   skip_convs.11.weight   |    8192    |
|    skip_convs.11.bias    |    256     |
|   skip_convs.12.weight   |    8192    |
|    skip_convs.12.bias    |    256     |
|   skip_convs.13.weight   |    8192    |
|    skip_convs.13.bias    |    256     |
|   skip_convs.14.weight   |    8192    |
|    skip_convs.14.bias    |    256     |
|   skip_convs.15.weight   |    8192    |
|    skip_convs.15.bias    |    256     |
|       bn.0.weight        |     32     |
|        bn.0.bias         |     32     |
|       bn.1.weight        |     32     |
|        bn.1.bias         |     32     |
|       bn.2.weight        |     32     |
|        bn.2.bias         |     32     |
|       bn.3.weight        |     32     |
|        bn.3.bias         |     32     |
|       bn.4.weight        |     32     |
|        bn.4.bias         |     32     |
|       bn.5.weight        |     32     |
|        bn.5.bias         |     32     |
|       bn.6.weight        |     32     |
|        bn.6.bias         |     32     |
|       bn.7.weight        |     32     |
|        bn.7.bias         |     32     |
|       bn.8.weight        |     32     |
|        bn.8.bias         |     32     |
|       bn.9.weight        |     32     |
|        bn.9.bias         |     32     |
|       bn.10.weight       |     32     |
|        bn.10.bias        |     32     |
|       bn.11.weight       |     32     |
|        bn.11.bias        |     32     |
|       bn.12.weight       |     32     |
|        bn.12.bias        |     32     |
|       bn.13.weight       |     32     |
|        bn.13.bias        |     32     |
|       bn.14.weight       |     32     |
|        bn.14.bias        |     32     |
|       bn.15.weight       |     32     |
|        bn.15.bias        |     32     |
|  gconv.0.mlp.mlp.weight  |    7168    |
|   gconv.0.mlp.mlp.bias   |     32     |
|  gconv.1.mlp.mlp.weight  |    7168    |
|   gconv.1.mlp.mlp.bias   |     32     |
|  gconv.2.mlp.mlp.weight  |    7168    |
|   gconv.2.mlp.mlp.bias   |     32     |
|  gconv.3.mlp.mlp.weight  |    7168    |
|   gconv.3.mlp.mlp.bias   |     32     |
|  gconv.4.mlp.mlp.weight  |    7168    |
|   gconv.4.mlp.mlp.bias   |     32     |
|  gconv.5.mlp.mlp.weight  |    7168    |
|   gconv.5.mlp.mlp.bias   |     32     |
|  gconv.6.mlp.mlp.weight  |    7168    |
|   gconv.6.mlp.mlp.bias   |     32     |
|  gconv.7.mlp.mlp.weight  |    7168    |
|   gconv.7.mlp.mlp.bias   |     32     |
|  gconv.8.mlp.mlp.weight  |    7168    |
|   gconv.8.mlp.mlp.bias   |     32     |
|  gconv.9.mlp.mlp.weight  |    7168    |
|   gconv.9.mlp.mlp.bias   |     32     |
| gconv.10.mlp.mlp.weight  |    7168    |
|  gconv.10.mlp.mlp.bias   |     32     |
| gconv.11.mlp.mlp.weight  |    7168    |
|  gconv.11.mlp.mlp.bias   |     32     |
| gconv.12.mlp.mlp.weight  |    7168    |
|  gconv.12.mlp.mlp.bias   |     32     |
| gconv.13.mlp.mlp.weight  |    7168    |
|  gconv.13.mlp.mlp.bias   |     32     |
| gconv.14.mlp.mlp.weight  |    7168    |
|  gconv.14.mlp.mlp.bias   |     32     |
| gconv.15.mlp.mlp.weight  |    7168    |
|  gconv.15.mlp.mlp.bias   |     32     |
|    start_conv.weight     |     64     |
|     start_conv.bias      |     32     |
|    end_conv_1.weight     |   131072   |
|     end_conv_1.bias      |    512     |
|    end_conv_2.weight     |    2048    |
|     end_conv_2.bias      |     4      |
+--------------------------+------------+
Total Trainable Params: 469140
 1. ***********
MSE = 22.18560028076172

 2. ***********
MAE = 2.1446003913879395

 3. ***********
MAE per sensor:
+----------------+
| mean_detectors |
+----------------+
|   0.85732496   |
|    1.012527    |
|   0.80558336   |
|    1.102594    |
|   1.3717415    |
|   2.5853398    |
|   1.4221249    |
|   1.2871368    |
|   1.0948509    |
|   0.79987764   |
|   0.75976104   |
|   0.71666056   |
|   0.6694834    |
|   0.6532446    |
|    3.461948    |
|   0.7194564    |
|   3.4990478    |
|   3.6230032    |
|   3.4646354    |
|   2.9583318    |
|   2.6527295    |
|   1.8886981    |
|    3.282766    |
|   2.8934476    |
|   3.3505392    |
|   4.5455055    |
|    4.032494    |
|    4.53796     |
+----------------+ 

 5. ***********
MAE per sequence time-step:
+-----------+-----------+----------+----------+
|   time_1  |   time_2  |  time_3  |  time_4  |
+-----------+-----------+----------+----------+
| 1.4966187 | 2.0180871 | 2.401303 | 2.662393 |
+-----------+-----------+----------+----------+ 

 6. ***********
MAE per sensor per sequence time-step
+------------+------------+------------+------------+
|   time_1   |   time_2   |   time_3   |   time_4   |
+------------+------------+------------+------------+
| 0.6842569  | 0.8514179  | 0.9236352  | 0.96998966 |
| 0.80618346 | 0.9895003  | 1.0942063  | 1.1602182  |
| 0.6631181  |  0.785825  | 0.86183435 | 0.9115558  |
| 0.92063814 | 1.0852617  | 1.1764455  | 1.2280307  |
| 1.0847397  | 1.3261461  | 1.4790094  | 1.5970709  |
| 2.4846225  | 2.5293424  | 2.6300404  | 2.6973534  |
| 1.1969073  | 1.4367188  | 1.5124364  | 1.5424368  |
| 1.0492531  | 1.2669711  | 1.3745217  | 1.4578009  |
| 0.90704465 | 1.0799913  | 1.1651337  |  1.227234  |
